libft,462,0
get_next_line,882,1
ft_printf,882,1
Born2beroot,577,1
pipex,1142,2
minitalk,1142,2
push_swap,1855,2
so_long,1000,2
fract-ol,1000,2
Fdf,1000,2
minishell,2814,3
Philosophers,3360,3
NetPractice,3160,4
cpp04,9660,4
cub3d,5775,4
miniRT,5775,4
inception,10042,5
webserv,21630,5
ft_irc,21630,5
cpp09,10042,5
